sovereign_state,indicator,measure_type,protection_category,percent_indicator
Mozambique,KBAs,area,MPA only,40.216731902354645
Mozambique,KBAs,area,OECM only,0
Mozambique,KBAs,area,MPA-OECM overlap,0
Seychelles,KBAs,area,MPA only,46.77774519948959
Seychelles,KBAs,area,OECM only,0
Seychelles,KBAs,area,MPA-OECM overlap,0
Somalia,KBAs,area,MPA only,0
Somalia,KBAs,area,OECM only,0
Somalia,KBAs,area,MPA-OECM overlap,0
South Africa,KBAs,area,MPA only,63.89598339585648
South Africa,KBAs,area,OECM only,0
South Africa,KBAs,area,MPA-OECM overlap,0
Tanzania,KBAs,area,MPA only,48.663559071239575
Tanzania,KBAs,area,OECM only,14.540833761264071
Tanzania,KBAs,area,MPA-OECM overlap,0
WIO,KBAs,area,MPA only,10.141800018666693
WIO,KBAs,area,OECM only,0.7205376350912681
WIO,KBAs,area,MPA-OECM overlap,0.12017168355771385
Comoro Islands,Turtle Nesting Sites,points,MPA only,0
Comoro Islands,Turtle Nesting Sites,points,OECM only,0
Comoro Islands,Turtle Nesting Sites,points,MPA-OECM overlap,0
France,Turtle Nesting Sites,points,MPA only,0
France,Turtle Nesting Sites,points,OECM only,0
France,Turtle Nesting Sites,points,MPA-OECM overlap,0
Kenya,Turtle Nesting Sites,points,MPA only,24.65753424657534
Kenya,Turtle Nesting Sites,points,OECM only,0
Kenya,Turtle Nesting Sites,points,MPA-OECM overlap,0
Madagascar,Turtle Nesting Sites,points,MPA only,5.47945205479452
Madagascar,Turtle Nesting Sites,points,OECM only,0
Madagascar,Turtle Nesting Sites,points,MPA-OECM overlap,0
Mauritius,Turtle Nesting Sites,points,MPA only,NA
Mauritius,Turtle Nesting Sites,points,OECM only,NA
Mauritius,Turtle Nesting Sites,points,MPA-OECM overlap,NA
Mozambique,Turtle Nesting Sites,points,MPA only,10.95890410958904
Mozambique,Turtle Nesting Sites,points,OECM only,0
Mozambique,Turtle Nesting Sites,points,MPA-OECM overlap,0
Seychelles,Turtle Nesting Sites,points,MPA only,8.21917808219178
Seychelles,Turtle Nesting Sites,points,OECM only,0
Seychelles,Turtle Nesting Sites,points,MPA-OECM overlap,0
Somalia,Turtle Nesting Sites,points,MPA only,NA
Somalia,Turtle Nesting Sites,points,OECM only,NA
Somalia,Turtle Nesting Sites,points,MPA-OECM overlap,NA
South Africa,Turtle Nesting Sites,points,MPA only,0
South Africa,Turtle Nesting Sites,points,OECM only,0
South Africa,Turtle Nesting Sites,points,MPA-OECM overlap,0
Tanzania,Turtle Nesting Sites,points,MPA only,0
Tanzania,Turtle Nesting Sites,points,OECM only,0
Tanzania,Turtle Nesting Sites,points,MPA-OECM overlap,0
WIO,Turtle Nesting Sites,points,MPA only,6.164383561643835
WIO,Turtle Nesting Sites,points,OECM only,0
WIO,Turtle Nesting Sites,points,MPA-OECM overlap,0
