Kulbicki,MEOW,ID,NA_,Lon,Lat,Management,RetentC,RetentP,RetentR,RetentT,RetentC5,RetentP5,RetentR15,RetentT15,OutflowC5,OutflowP5,OutflowR15,OutflowT15,InflowC5,InflowP5,InflowR15,InflowT15,OutDegC5,OutDegP5,OutDegR15,OutDegT15,InDegC5,InDegP5,InDegR15,InDegT15,OutflowC,OutflowP,OutflowR,OutflowT,InflowC,InflowP,InflowR,InflowT,OutDegC,OutDegP,OutDegR,OutDegT,InDegC,InDegP,InDegR,InDegT,NetflowC5,NetflowR15,NetflowP5,NetflowT15,NetflowC,NetflowR,NetflowP,NetflowT,source_cell_id,cell_id,netflow,sovereign_state,protected,in_mpa,in_oecm,protection_class,n_cells,q25_netflow,q75_netflow,is_country_sink,is_country_source,is_wio_sink,is_wio_source
Western Indian,Western Indian Ocean,14688,V14688,47.24,-14.82,Fished,90,28,20,0,215,130,44,0,1359,1426,738,912,2405,1784,776,855,41,18,49,27,71,36,82,36,955,1230,975,630,1215,1530,1175,315,48,42,42,20,52,53,53,13,-0.277895855,-0.025099075,-0.11152648,0.032258065,-0.119815668,-0.093023256,-0.108695652,0.333333333,14688,CELL014688,-0.277895855,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14689,V14689,47.8,-13.86,Fished,5,26,15,0,178,238,17,57,793,1024,486,669,1492,1150,421,570,64,24,90,30,21,13,24,11,430,1046,665,330,210,452,330,315,46,39,39,15,18,16,16,7,-0.305908096,0.071664829,-0.057957682,0.079903148,0.34375,0.336683417,0.396528705,0.023255814,14689,CELL014689,-0.305908096,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14691,V14691,48.2,-13.46,Fished,10,28,20,0,197,208,8,0,2970,2418,992,1263,1936,2040,432,225,35,20,65,37,56,26,54,20,775,1288,1070,765,970,1596,1340,1035,47,43,43,18,53,53,53,21,0.210762332,0.393258427,0.084791386,0.697580645,-0.111747851,-0.112033195,-0.106796117,-0.15,14691,CELL014691,0.210762332,Madagascar,TRUE,TRUE,FALSE,MPA only,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14692,V14692,48.12,-13.38,Fished,0,0,0,0,131,6,7,0,506,212,125,27,394,176,19,0,17,11,15,6,11,8,3,0,10,138,95,105,0,0,0,0,2,5,5,3,0,0,0,0,0.124444444,0.736111111,0.092783505,1,1,1,1,1,14692,CELL014692,0.124444444,Madagascar,TRUE,TRUE,FALSE,MPA only,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14693,V14693,47.88,-13.54,Fished,30,0,0,0,188,134,101,102,704,714,658,1053,1892,1166,1279,789,94,26,106,33,54,28,69,51,715,1630,1175,645,1145,902,855,435,62,58,58,21,49,28,28,12,-0.457627119,-0.320598864,-0.240425532,0.143322476,-0.231182796,0.157635468,0.287519747,0.194444444,14693,CELL014693,-0.457627119,Madagascar,TRUE,TRUE,FALSE,MPA only,199,-0.174266899,0.28266797099999996,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14694,V14694,47.96,-13.46,Fished,15,26,15,0,148,106,2,0,1277,856,832,636,1453,1290,914,1035,162,78,205,79,140,75,172,84,1265,2700,1900,690,835,2058,1345,675,124,97,97,32,99,76,76,33,-0.064468864,-0.04696449,-0.202236719,-0.238779174,0.204761905,0.171032357,0.134930643,0.010989011,14694,CELL014694,-0.064468864,Madagascar,TRUE,TRUE,FALSE,MPA only,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14695,V14695,43.72,-18.02,Fished,5,0,0,0,129,228,19,60,1411,1136,805,708,1497,1424,789,840,144,49,184,69,134,58,162,81,820,2596,1790,525,585,1636,1090,465,94,94,94,23,83,60,60,18,-0.02957359,0.010037641,-0.1125,-0.085271318,0.167259786,0.243055556,0.2268431,0.060606061,14695,CELL014695,-0.02957359,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14696,V14696,44.12,-16.66,Fished,0,0,0,15,174,90,3,9,1636,1328,912,990,1580,1850,475,522,140,62,181,76,125,48,166,55,950,2804,1810,510,780,1394,885,450,112,104,104,28,101,52,52,22,0.017412935,0.315068493,-0.164254248,0.30952381,0.098265896,0.3432282,0.335874226,0.0625,14696,CELL014696,0.017412935,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14697,V14697,43.88,-18.42,Fished,10,0,0,0,81,100,20,27,1323,1070,879,921,1230,954,846,1002,165,76,211,77,129,51,183,69,1245,3100,2200,975,1105,1530,925,345,138,111,111,42,109,58,58,18,0.036427732,0.019130435,0.057312253,-0.042121685,0.059574468,0.408,0.339092873,0.477272727,14697,CELL014697,0.036427732,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14698,V14698,44.2,-25.14,Fished,5,28,20,0,78,44,7,6,1418,1036,820,588,939,718,494,378,154,53,182,60,115,40,156,60,840,2798,1845,600,505,1624,1010,390,101,103,103,28,71,61,61,21,0.203224438,0.248097412,0.181299886,0.217391304,0.249070632,0.292469352,0.265490728,0.212121212,14698,CELL014698,0.203224438,Madagascar,TRUE,TRUE,FALSE,MPA only,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
