Kulbicki,MEOW,ID,NA_,Lon,Lat,Management,RetentC,RetentP,RetentR,RetentT,RetentC5,RetentP5,RetentR15,RetentT15,OutflowC5,OutflowP5,OutflowR15,OutflowT15,InflowC5,InflowP5,InflowR15,InflowT15,OutDegC5,OutDegP5,OutDegR15,OutDegT15,InDegC5,InDegP5,InDegR15,InDegT15,OutflowC,OutflowP,OutflowR,OutflowT,InflowC,InflowP,InflowR,InflowT,OutDegC,OutDegP,OutDegR,OutDegT,InDegC,InDegP,InDegR,InDegT,NetflowC5,NetflowR15,NetflowP5,NetflowT15,NetflowC,NetflowR,NetflowP,NetflowT,source_cell_id,cell_id,netflow,sovereign_state,protected,in_mpa,in_oecm,protection_class,n_cells,q25_netflow,q75_netflow,is_country_sink,is_country_source,is_wio_sink,is_wio_source
Western Indian,Red Sea and Gulf of Aden,5233,V5233,43.56,11.5,Fished,0,0,0,0,65,66,5,15,1645,1050,517,579,288,154,60,39,37,19,45,18,17,3,26,2,255,552,380,165,15,26,15,0,26,20,20,8,2,1,1,0,0.702017589,0.79202773,0.744186047,0.873786408,0.888888889,0.924050633,0.910034602,1,5233,CELL005233,0.702017589,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,TRUE
Western Indian,Red Sea and Gulf of Aden,5238,V5238,43.64,11.42,Fished,0,0,0,0,12,0,0,0,875,358,688,585,135,20,0,0,73,37,94,44,5,1,0,0,745,1238,945,525,0,0,0,0,64,43,43,17,0,0,0,0,0.732673267,1,0.894179894,1,1,1,1,1,5238,CELL005238,0.732673267,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,TRUE
Western Indian,Red Sea and Gulf of Aden,5239,V5239,43.56,11.42,Fished,0,0,0,0,3,0,0,0,571,278,541,534,248,26,23,0,67,18,72,36,14,3,8,0,610,1174,885,480,0,0,0,0,54,41,41,14,0,0,0,0,0.394383394,0.918439716,0.828947368,1,1,1,1,1,5239,CELL005239,0.394383394,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,TRUE
Western Indian,Red Sea and Gulf of Aden,5240,V5240,43.72,11.02,Fished,0,0,0,0,23,0,0,0,746,256,528,381,415,28,79,21,41,17,43,16,25,6,19,3,335,694,435,135,20,0,0,15,28,26,26,4,2,0,0,1,0.285099053,0.73970346,0.802816901,0.895522388,0.887323944,1,1,0.8,5240,CELL005240,0.285099053,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,FALSE
Western Indian,Red Sea and Gulf of Aden,5241,V5241,43.72,11.1,Fished,0,0,0,0,2,0,1,0,695,290,475,561,1090,362,411,0,55,27,73,37,41,6,99,0,495,1276,890,525,25,2146,1915,0,43,46,46,20,5,69,69,0,-0.221288515,0.072234763,-0.110429448,1,0.903846154,-0.365418895,-0.254237288,1,5241,CELL005241,-0.221288515,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,FALSE,TRUE,FALSE
Western Indian,Red Sea and Gulf of Aden,5242,V5242,43.64,11.1,Fished,0,0,0,0,152,0,0,0,849,198,434,441,465,80,52,3,56,19,62,29,17,5,15,1,370,1078,795,510,40,26,15,0,28,38,38,21,5,1,1,0,0.292237443,0.78600823,0.424460432,0.986486486,0.804878049,0.962962963,0.952898551,1,5242,CELL005242,0.292237443,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,FALSE
Western Indian,Red Sea and Gulf of Aden,5243,V5243,43.64,11.18,Fished,0,0,0,0,110,50,0,0,1382,574,514,468,139,52,8,0,52,29,71,27,6,2,2,0,640,1100,850,540,0,0,0,0,48,38,38,19,0,0,0,0,0.81722551,0.969348659,0.833865815,1,1,1,1,1,5243,CELL005243,0.81722551,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,TRUE,FALSE,TRUE
Western Indian,Somali/Arabian,5980,V5980,45.88,2.3,Fished,15,0,0,0,374,0,65,0,1088,198,357,6,861,18,346,171,14,6,16,2,11,1,13,3,200,286,215,0,185,214,185,15,12,10,10,0,9,7,7,1,0.116469985,0.015647226,0.833333333,-0.93220339,0.038961039,0.075,0.144,-1,5980,CELL005980,0.116469985,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,FALSE,FALSE,FALSE
Western Indian,Somali/Arabian,5981,V5981,46.04,2.38,Fished,5,0,0,0,130,14,4,0,658,150,142,0,496,138,192,30,5,5,6,0,8,2,8,1,25,74,85,0,20,110,75,0,3,2,2,0,3,4,4,0,0.140381282,-0.149700599,0.041666667,-1,0.111111111,0.0625,-0.195652174,NA,5981,CELL005981,0.140381282,Somalia,FALSE,FALSE,FALSE,Unprotected,22,-0.24193630225,0.24891961025,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14048,V14048,54.52,-15.86,Fished,65,60,100,75,1002,624,300,312,1002,626,302,318,1164,796,468,588,1,2,2,3,19,9,29,21,85,114,135,75,380,502,405,300,2,3,3,1,27,17,17,12,-0.074792244,-0.215584416,-0.11954993,-0.298013245,-0.634408602,-0.5,-0.62987013,-0.6,14048,CELL014048,-0.074792244,France,FALSE,FALSE,FALSE,Unprotected,54,-0.31484398975,0.4384915245,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14049,V14049,54.52,-15.94,Fished,100,44,60,75,309,216,147,168,756,616,380,297,1309,880,741,597,6,6,8,5,45,24,60,31,320,202,205,240,800,1430,1125,315,6,6,6,5,50,49,49,10,-0.26779661,-0.322033898,-0.176470588,-0.33557047,-0.428571429,-0.691729323,-0.75245098,-0.135135135,14049,CELL014049,-0.26779661,France,FALSE,FALSE,FALSE,Unprotected,54,-0.31484398975,0.4384915245,FALSE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14050,V14050,59.56,-16.26,Fished,30,28,20,30,426,238,117,144,1424,1090,332,357,1203,736,555,321,6,6,8,5,36,17,51,15,130,178,145,30,795,1302,955,150,6,6,6,1,40,46,46,7,0.08412638,-0.251409245,0.193866375,0.053097345,-0.718918919,-0.736363636,-0.759459459,-0.666666667,14050,CELL014050,0.08412638,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,TRUE,FALSE,FALSE
Western Indian,Western Indian Ocean,14051,V14051,59.48,-16.58,Fished,55,38,45,0,324,350,43,30,1040,838,264,156,1101,992,556,285,6,6,6,5,45,31,60,22,220,220,200,120,585,1378,1045,165,6,7,7,4,46,48,48,7,-0.028491359,-0.356097561,-0.084153005,-0.292517007,-0.453416149,-0.678714859,-0.72465582,-0.157894737,14051,CELL014051,-0.028491359,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14052,V14052,56.68,-10.5,Fished,230,68,120,45,645,582,193,294,645,582,193,294,678,654,242,297,1,1,1,1,4,5,5,2,230,68,120,45,350,120,150,45,1,1,1,1,5,3,3,1,-0.024943311,-0.112643678,-0.058252427,-0.005076142,-0.206896552,-0.111111111,-0.276595745,0,14052,CELL014052,-0.024943311,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14053,V14053,56.6,-10.42,Fished,0,0,0,0,201,0,0,0,267,2,19,0,391,158,7,0,13,1,12,0,2,1,6,0,45,184,110,0,5,132,80,0,7,7,7,0,1,5,5,0,-0.188449848,0.461538462,-0.975,NA,0.8,0.157894737,0.164556962,NA,14053,CELL014053,-0.188449848,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14054,V14054,59.64,-16.18,Fished,0,0,0,0,256,252,3,0,449,410,13,0,329,276,43,36,4,2,8,0,7,8,11,7,70,104,60,0,15,242,155,90,9,4,4,0,2,9,9,3,0.154241645,-0.535714286,0.195335277,-1,0.647058824,-0.441860465,-0.398843931,-1,14054,CELL014054,0.154241645,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,TRUE,FALSE,FALSE
Western Indian,Western Indian Ocean,14055,V14055,59.64,-16.66,Fished,0,0,0,0,197,230,30,30,935,852,243,246,905,1004,338,429,13,11,22,13,21,10,21,11,75,316,190,60,90,170,125,135,9,12,12,3,10,6,6,5,0.016304348,-0.163511188,-0.081896552,-0.271111111,-0.090909091,0.206349206,0.300411523,-0.384615385,14055,CELL014055,0.016304348,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14057,V14057,59.72,-16.66,Fished,0,0,0,0,38,4,2,0,586,578,90,111,2785,2506,567,486,17,13,18,10,22,12,18,13,70,240,150,15,300,450,475,75,7,9,9,1,14,13,13,4,-0.652328686,-0.726027397,-0.625162127,-0.628140704,-0.621621622,-0.52,-0.304347826,-0.666666667,14057,CELL014057,-0.652328686,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14058,V14058,59.64,-16.42,Fished,0,0,0,0,109,72,17,24,600,640,246,372,988,700,413,489,18,15,17,16,22,14,22,15,175,260,200,420,155,308,220,15,8,9,9,8,11,11,11,1,-0.244332494,-0.253414264,-0.044776119,-0.135888502,0.060606061,-0.047619048,-0.084507042,0.931034483,14058,CELL014058,-0.244332494,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14059,V14059,59.64,-16.34,Fished,0,0,0,0,90,98,2,0,864,946,205,249,438,114,222,144,19,10,17,8,22,6,21,14,205,316,240,105,90,52,30,75,12,11,11,4,9,2,2,4,0.32718894,-0.039812646,0.78490566,0.267175573,0.389830508,0.777777778,0.717391304,0.166666667,14059,CELL014059,0.32718894,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,TRUE,FALSE,TRUE
Western Indian,Western Indian Ocean,14060,V14060,59.72,-16.5,Fished,0,0,0,0,68,102,61,120,325,194,196,243,283,466,182,465,14,5,17,6,6,5,6,6,55,80,50,0,5,0,0,0,4,3,3,0,1,0,0,0,0.069078947,0.037037037,-0.412121212,-0.313559322,0.833333333,1,1,NA,14060,CELL014060,0.069078947,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14061,V14061,59.56,-16.74,Fished,0,0,0,0,45,26,9,24,309,362,193,408,261,384,30,66,16,5,16,6,6,6,6,6,105,116,90,0,5,0,0,0,8,4,4,0,1,0,0,0,0.084210526,0.730941704,-0.029490617,0.721518987,0.909090909,1,1,NA,14061,CELL014061,0.084210526,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,TRUE,FALSE,FALSE
Western Indian,Western Indian Ocean,14062,V14062,59.48,-16.82,Fished,0,0,0,0,118,46,17,30,381,260,135,102,581,488,269,780,14,4,14,8,6,6,6,6,10,80,50,0,0,0,0,0,1,3,3,0,0,0,0,0,-0.207900208,-0.331683168,-0.304812834,-0.768707483,1,1,1,NA,14062,CELL014062,-0.207900208,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14063,V14063,59.56,-16.5,Fished,5,0,0,0,16,26,18,45,301,328,165,318,220,230,88,162,14,5,16,6,6,6,6,6,60,26,15,0,5,0,0,0,8,1,1,0,1,0,0,0,0.15547025,0.304347826,0.17562724,0.325,0.846153846,1,1,NA,14063,CELL014063,0.15547025,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,TRUE,FALSE,FALSE
Western Indian,Western Indian Ocean,14064,V14064,59.56,-16.58,Fished,15,0,0,0,6,12,2,0,278,368,232,342,100,92,50,45,14,5,14,5,6,4,6,5,105,54,35,0,25,0,0,0,8,2,2,0,3,0,0,0,0.470899471,0.645390071,0.6,0.76744186,0.615384615,1,1,NA,14064,CELL014064,0.470899471,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,TRUE,FALSE,TRUE
Western Indian,Western Indian Ocean,14066,V14066,35.32,-24.5,Fished,15,0,0,0,34,2,11,0,262,156,149,171,138,8,79,51,13,6,15,8,6,3,6,5,110,54,35,15,105,52,30,0,11,2,2,1,5,2,2,0,0.31,0.307017544,0.902439024,0.540540541,0.023255814,0.076923077,0.018867925,1,14066,CELL014066,0.31,Mozambique,FALSE,FALSE,FALSE,Unprotected,110,-0.031222615250000002,0.30777515725,FALSE,TRUE,FALSE,TRUE
Western Indian,Western Indian Ocean,14067,V14067,35.32,-21.46,MPA,5,0,0,0,46,40,3,12,673,688,218,396,571,472,223,261,19,10,19,16,19,14,21,15,175,382,255,300,130,140,100,75,13,14,14,8,13,5,5,4,0.081993569,-0.011337868,0.186206897,0.205479452,0.147540984,0.436619718,0.463601533,0.6,14067,CELL014067,0.081993569,Mozambique,TRUE,TRUE,FALSE,MPA only,110,-0.031222615250000002,0.30777515725,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14069,V14069,32.92,-26.9,MPA,0,0,0,0,122,160,34,30,1101,992,321,240,780,714,398,297,20,13,24,11,22,9,21,11,225,530,375,225,85,78,45,15,14,19,19,6,9,3,3,1,0.170653907,-0.107093185,0.162954279,-0.106145251,0.451612903,0.785714286,0.743421053,0.875,14069,CELL014069,0.170653907,South Africa,TRUE,TRUE,FALSE,MPA only,1,0.170653907,0.170653907,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14070,V14070,35.32,-21.54,MPA,0,0,0,0,140,62,15,21,2026,1560,428,504,1014,688,360,594,16,15,16,14,22,15,22,17,145,256,240,75,165,160,100,225,9,8,8,3,9,6,6,5,0.332894737,0.086294416,0.387900356,-0.081967213,-0.064516129,0.411764706,0.230769231,-0.5,14070,CELL014070,0.332894737,Mozambique,TRUE,TRUE,FALSE,MPA only,110,-0.031222615250000002,0.30777515725,FALSE,TRUE,FALSE,TRUE
Western Indian,Western Indian Ocean,14071,V14071,35.24,-21.46,Fished,50,28,20,90,1037,502,127,93,2728,2314,856,1035,2612,1688,918,681,15,13,17,16,18,16,22,18,405,442,405,270,500,464,410,435,13,14,14,7,16,15,15,8,0.021722846,-0.034949267,0.156421789,0.206293706,-0.104972376,-0.006134969,-0.024282561,-0.234042553,14071,CELL014071,0.021722846,Mozambique,FALSE,FALSE,FALSE,Unprotected,110,-0.031222615250000002,0.30777515725,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14072,V14072,32.92,-26.82,Fished,0,0,0,0,176,202,8,0,707,632,144,111,405,558,71,171,14,8,21,10,11,9,10,7,160,342,255,90,10,54,35,0,7,12,12,5,2,2,2,0,0.271582734,0.339534884,0.062184874,-0.212765957,0.882352941,0.75862069,0.727272727,1,14072,CELL014072,0.271582734,Mozambique,TRUE,TRUE,FALSE,MPA only,110,-0.031222615250000002,0.30777515725,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14074,V14074,35.56,-22.1,Fished,0,0,0,0,104,104,8,12,508,402,186,165,567,542,93,192,14,12,17,10,16,10,13,10,150,184,110,165,20,112,80,15,11,7,7,5,4,4,4,1,-0.054883721,0.333333333,-0.148305085,-0.075630252,0.764705882,0.157894737,0.243243243,0.833333333,14074,CELL014074,-0.054883721,Mozambique,TRUE,TRUE,FALSE,MPA only,110,-0.031222615250000002,0.30777515725,TRUE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14075,V14075,35.48,-21.86,MPA,145,32,30,30,139,126,133,54,2014,1458,910,1020,1307,988,928,807,16,14,20,15,20,14,21,16,465,344,310,240,790,486,465,330,13,11,11,8,18,15,15,9,0.212887684,-0.009793254,0.19215045,0.116584565,-0.258964143,-0.2,-0.171084337,-0.157894737,14075,CELL014075,0.212887684,Mozambique,TRUE,TRUE,FALSE,MPA only,110,-0.031222615250000002,0.30777515725,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14076,V14076,35.56,-22.02,Fished,0,0,0,0,29,4,2,0,362,178,211,255,292,420,55,30,15,12,18,11,12,7,14,5,100,190,125,45,5,106,65,30,8,7,7,3,1,4,4,1,0.107033639,0.586466165,-0.404682274,0.789473684,0.904761905,0.315789474,0.283783784,0.2,14076,CELL014076,0.107033639,Mozambique,TRUE,TRUE,FALSE,MPA only,110,-0.031222615250000002,0.30777515725,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14077,V14077,32.92,-25.94,Fished,95,64,110,30,1024,944,153,195,1976,1586,660,621,2105,1728,475,693,13,11,17,12,12,9,15,15,335,536,540,45,380,466,465,390,9,16,16,2,16,14,14,9,-0.0316099,0.162995595,-0.042848521,-0.054794521,-0.062937063,0.074626866,0.069860279,-0.793103448,14077,CELL014077,-0.0316099,Mozambique,TRUE,TRUE,FALSE,MPA only,110,-0.031222615250000002,0.30777515725,TRUE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14078,V14078,55.32,-21.3,Fished,50,28,20,15,197,304,58,117,1680,1416,671,846,1365,1488,635,942,14,11,21,15,18,14,20,15,445,472,430,315,505,574,485,315,12,15,15,7,20,19,19,10,0.103448276,0.027565084,-0.024793388,-0.053691275,-0.063157895,-0.06010929,-0.09751434,0,14078,CELL014078,0.103448276,France,TRUE,TRUE,FALSE,MPA only,54,-0.31484398975,0.4384915245,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14079,V14079,55.24,-21.22,Fished,20,0,0,0,62,34,21,27,429,292,231,249,858,552,134,183,16,10,18,12,11,11,16,9,95,274,185,0,150,304,210,60,8,10,10,0,13,11,11,3,-0.333333333,0.265753425,-0.308056872,0.152777778,-0.224489796,-0.063291139,-0.051903114,-1,14079,CELL014079,-0.333333333,France,TRUE,TRUE,FALSE,MPA only,54,-0.31484398975,0.4384915245,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14080,V14080,57.72,-19.86,Fished,5,0,0,0,30,52,6,24,296,266,175,294,722,616,215,294,15,12,18,16,14,14,16,12,65,170,125,0,105,212,130,105,8,6,6,0,11,8,8,3,-0.418467583,-0.102564103,-0.396825397,0,-0.235294118,-0.019607843,-0.109947644,-1,14080,CELL014080,-0.418467583,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14081,V14081,57.48,-20.02,Fished,0,0,0,0,8,0,2,0,587,346,383,132,570,352,114,57,30,20,34,8,31,16,29,10,140,458,345,15,55,0,0,0,15,16,16,1,9,0,0,0,0.014693172,0.541247485,-0.008595989,0.396825397,0.435897436,1,1,1,14081,CELL014081,0.014693172,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14082,V14082,57.56,-19.94,Fished,0,0,0,0,31,60,2,0,790,816,206,126,925,908,151,39,28,15,31,4,35,15,37,9,35,216,140,60,80,138,95,30,5,8,8,2,12,5,5,2,-0.078717201,0.154061625,-0.053364269,0.527272727,-0.391304348,0.191489362,0.220338983,0.333333333,14082,CELL014082,-0.078717201,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14083,V14083,57.8,-19.78,Fished,0,0,0,0,4,0,1,0,730,700,215,60,1566,928,211,93,24,14,37,5,34,21,36,12,80,224,160,0,130,388,270,45,8,8,8,0,15,14,14,3,-0.364111498,0.009389671,-0.14004914,-0.215686275,-0.238095238,-0.255813953,-0.267973856,-1,14083,CELL014083,-0.364111498,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14084,V14084,63.4,-19.86,Fished,0,26,15,0,7,6,9,0,578,526,317,129,760,244,165,30,33,18,34,8,29,12,29,4,75,312,230,0,140,26,15,45,11,11,11,0,14,1,1,1,-0.136023916,0.315352697,0.366233766,0.622641509,-0.302325581,0.87755102,0.846153846,-1,14084,CELL014084,-0.136023916,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14085,V14085,63.32,-19.86,Fished,5,0,0,0,5,8,10,0,472,342,243,87,470,384,266,126,31,18,35,7,34,23,36,15,130,180,150,0,70,346,215,0,14,6,6,0,12,13,13,0,0.002123142,-0.04518664,-0.05785124,-0.183098592,0.3,-0.178082192,-0.315589354,NA,14085,CELL014085,0.002123142,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14086,V14086,63.48,-19.62,Fished,0,26,15,0,11,20,4,0,351,270,216,72,741,840,390,399,27,18,34,7,35,23,37,16,145,230,175,0,160,466,415,0,14,8,8,0,17,15,15,0,-0.357142857,-0.287128713,-0.513513514,-0.694267516,-0.049180328,-0.406779661,-0.33908046,NA,14086,CELL014086,-0.357142857,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14087,V14087,63.32,-19.78,Fished,50,30,25,0,22,32,12,15,254,296,202,135,783,600,415,492,26,16,36,11,38,25,40,23,155,242,155,0,320,278,195,0,15,9,9,0,17,10,10,0,-0.510125362,-0.345218801,-0.339285714,-0.56937799,-0.347368421,-0.114285714,-0.069230769,NA,14087,CELL014087,-0.510125362,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14089,V14089,63.4,-19.62,Fished,0,0,0,0,0,0,0,0,630,478,684,354,666,446,251,249,122,32,131,27,51,34,60,44,1440,2684,2460,645,245,130,75,45,101,85,85,19,21,5,5,2,-0.027777778,0.463101604,0.034632035,0.174129353,0.709198813,0.940828402,0.907604833,0.869565217,14089,CELL014089,-0.027777778,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14090,V14090,57.64,-19.86,Fished,0,0,0,0,0,0,0,0,797,410,929,354,692,828,532,1056,148,54,156,43,54,50,78,68,2180,4182,3655,945,190,428,270,210,130,136,136,42,24,16,16,13,0.070517126,0.271731691,-0.337641357,-0.49787234,0.839662447,0.862420382,0.814316703,0.636363636,14090,CELL014090,0.070517126,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,TRUE,FALSE,FALSE
Western Indian,Western Indian Ocean,14091,V14091,57.8,-19.86,Fished,0,0,0,0,0,0,0,0,682,414,791,270,687,936,446,876,122,52,132,40,54,50,71,69,1820,3720,3050,870,275,236,140,135,112,125,125,41,28,9,9,9,-0.003652301,0.278900566,-0.386666667,-0.528795812,0.737470167,0.912225705,0.880687563,0.731343284,14091,CELL014091,-0.003652301,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14092,V14092,57.8,-20.1,Fished,0,0,0,0,11,30,0,0,720,616,636,417,371,272,152,216,122,39,134,34,41,30,54,34,1580,3552,2930,630,140,54,35,15,107,119,119,16,15,2,2,1,0.319890009,0.614213198,0.387387387,0.317535545,0.837209302,0.976391231,0.970049917,0.953488372,14092,CELL014092,0.319890009,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,TRUE,FALSE,TRUE
Western Indian,Western Indian Ocean,14093,V14093,57.8,-20.18,Fished,0,0,0,0,0,0,0,0,624,402,680,258,905,494,414,450,124,36,141,30,61,42,71,57,1265,3370,2725,390,340,26,15,15,113,114,114,17,28,1,1,1,-0.183780249,0.243144424,-0.102678571,-0.271186441,0.576323988,0.989051095,0.984687868,0.925925926,14093,CELL014093,-0.183780249,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14094,V14094,57.4,-20.18,Fished,0,0,0,0,24,54,0,0,636,366,637,261,604,486,211,174,120,28,128,25,43,29,33,23,1345,3092,2480,180,115,166,115,150,118,105,105,10,14,6,6,9,0.025806452,0.502358491,-0.14084507,0.2,0.842465753,0.911368015,0.898096992,0.090909091,14094,CELL014094,0.025806452,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14095,V14095,57.32,-20.26,Fished,0,0,0,0,0,0,0,0,825,552,1018,264,640,914,321,777,122,64,138,50,71,55,88,71,1895,3750,3175,435,250,390,275,540,118,124,124,19,31,14,14,14,0.126279863,0.520537715,-0.246930423,-0.492795389,0.766899767,0.84057971,0.811594203,-0.107692308,14095,CELL014095,0.126279863,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,TRUE,FALSE,FALSE
Western Indian,Western Indian Ocean,14096,V14096,57.8,-20.42,Fished,0,0,0,0,0,0,0,0,480,268,692,249,630,722,412,552,123,42,138,22,54,42,84,53,1495,3276,2690,225,110,470,325,150,110,110,110,10,18,17,17,8,-0.135135135,0.253623188,-0.458585859,-0.378277154,0.862928349,0.784411277,0.74906567,0.2,14096,CELL014096,-0.135135135,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14097,V14097,57.32,-20.42,Fished,0,0,0,0,0,0,0,0,441,164,608,165,892,1160,552,606,111,38,124,23,55,46,79,54,1265,3160,2500,120,195,578,445,420,97,108,108,8,26,20,20,17,-0.338334584,0.048275862,-0.752265861,-0.571984436,0.732876712,0.697792869,0.690743713,-0.555555556,14097,CELL014097,-0.338334584,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14098,V14098,57.64,-20.5,Fished,5,60,100,0,1,0,11,0,691,480,108,0,619,694,259,399,31,16,31,0,38,27,37,27,95,168,170,0,125,586,615,60,14,5,5,0,11,17,17,3,0.054961832,-0.411444142,-0.182282794,-1,-0.136363636,-0.566878981,-0.554376658,-1,14098,CELL014098,0.054961832,Mauritius,FALSE,FALSE,FALSE,Unprotected,34,-0.18728244825,0.07015758125,FALSE,FALSE,FALSE,FALSE
